id,year,state_abbr,race_id,population
340,2013,CA,4,146290
341,2013,CA,5,1627359
342,2014,CA,0,23650913
343,2014,CA,1,2262323
344,2014,CA,2,287360
345,2014,CA,3,5130536
346,2014,CA,4,147286
347,2014,CA,5,1698173
348,2015,CA,0,23747013
349,2015,CA,1,2265387
350,2015,CA,2,287028
351,2015,CA,3,5261978
352,2015,CA,4,150370
353,2015,CA,5,1734897
354,2016,CA,0,23680584
355,2016,CA,1,2261835
356,2016,CA,2,285512
357,2016,CA,3,5354608
358,2016,CA,4,150908
359,2016,CA,5,1787159
360,2017,CA,0,23607242
361,2017,CA,1,2263222
362,2017,CA,2,292018
363,2017,CA,3,5503672
364,2017,CA,4,152027
365,2017,CA,5,1834714
366,2018,CA,0,23529068
367,2018,CA,1,2267875
368,2018,CA,2,296475
369,2018,CA,3,5604339
370,2018,CA,4,153366
371,2018,CA,5,1882227
372,2019,CA,0,23453222
373,2019,CA,1,2274108
374,2019,CA,2,303998
375,2019,CA,3,5692423
376,2019,CA,4,155290
377,2019,CA,5,1922664
378,2020,CA,0,22053721
379,2020,CA,1,2250962
380,2020,CA,2,311629
381,2020,CA,3,5834312
382,2020,CA,4,149636
383,2020,CA,5,3122016
384,2021,CA,0,20553732
385,2021,CA,1,2233258
386,2021,CA,2,360607
387,2021,CA,3,5887396
388,2021,CA,4,148278
389,2021,CA,5,4235217
390,2009,CO,0,4055379
391,2009,CO,1,186598
392,2009,CO,2,46018
393,2009,CO,3,125336
394,2009,CO,4,5030
395,2009,CO,5,142611
396,2010,CO,0,4082565
397,2010,CO,1,190598
398,2010,CO,2,47022
399,2010,CO,3,133134
400,2010,CO,4,5757
401,2010,CO,5,150461
402,2011,CO,0,4167044
403,2011,CO,1,195640
404,2011,CO,2,48201
405,2011,CO,3,134228
406,2011,CO,4,5798
407,2011,CO,5,159786
408,2012,CO,0,4243753
409,2012,CO,1,201424
410,2012,CO,2,49099
411,2012,CO,3,136882
412,2012,CO,4,6034
413,2012,CO,5,166828
414,2013,CO,0,4301096
415,2013,CO,1,203755
416,2013,CO,2,49177
