incident_id,incident_year,incident_date,jurisdiction_id,state_abbr,offender_race_id,offender_count,victim_count
137059,2009,2009-08-17,0,AZ,6,0,1
137060,2009,2009-08-23,0,AZ,0,1,1
137061,2009,2009-09-01,0,AZ,6,0,3
137062,2009,2009-09-08,0,AZ,1,3,1
137063,2009,2009-09-19,0,AZ,0,1,1
137064,2009,2009-09-23,0,AZ,6,0,1
137065,2009,2009-11-12,0,AZ,0,1,2
137066,2009,2009-10-04,0,AZ,0,1,1
137067,2009,2009-10-09,0,AZ,6,0,1
137068,2009,2009-11-03,0,AZ,0,1,1
137069,2009,2009-11-06,0,AZ,6,0,1
137070,2009,2009-10-13,0,AZ,6,0,1
137071,2009,2009-11-19,0,AZ,0,1,1
137072,2009,2009-12-20,0,AZ,0,1,1
137073,2009,2009-12-29,0,AZ,0,2,1
137074,2009,2009-01-16,0,AZ,6,0,1
137075,2009,2009-02-26,0,AZ,0,1,1
137076,2009,2009-05-09,0,AZ,0,1,1
137077,2009,2009-08-25,0,AZ,0,1,1
137078,2009,2009-10-11,0,AZ,6,0,1
137079,2009,2009-11-20,0,AZ,6,0,1
137080,2009,2009-12-09,0,AZ,0,1,1
137081,2009,2009-01-21,0,AZ,6,0,1
137082,2009,2009-02-09,0,AZ,0,1,1
137083,2009,2009-04-04,0,AZ,0,1,1
137084,2009,2009-05-25,0,AZ,5,4,2
137085,2009,2009-08-21,0,AZ,6,0,2
137086,2009,2009-11-07,5,AZ,6,0,1
137087,2009,2009-04-17,0,AZ,0,2,3
137088,2009,2009-01-09,1,AZ,0,1,1
137089,2009,2009-10-29,1,AZ,0,1,1
137090,2009,2009-12-24,1,AZ,6,0,1
137091,2009,2009-02-05,0,AZ,6,0,3
137092,2009,2009-03-31,0,AZ,6,0,1
137093,2009,2009-05-03,0,AZ,0,1,3
137094,2009,2009-07-06,0,AZ,6,0,1
137095,2009,2009-07-08,0,AZ,6,0,5
137096,2009,2009-07-08,0,AZ,6,0,2
137097,2009,2009-09-30,0,AZ,0,2,1
137098,2009,2009-11-10,0,AZ,6,0,3
137099,2009,2009-11-15,0,AZ,1,1,1
137100,2009,2009-11-25,0,AZ,6,0,1
137101,2009,2009-12-03,0,AZ,6,0,1
137102,2009,2009-04-06,5,AZ,6,0,1
137103,2009,2009-06-07,5,AZ,6,0,1
137104,2009,2009-08-15,5,AZ,6,0,1
137105,2009,2009-10-13,5,AZ,6,0,1
137106,2009,2009-12-18,5,AZ,6,0,1
137107,2009,2009-12-24,5,AZ,6,0,1
137108,2009,2009-04-02,1,AZ,0,1,1
137109,2009,2009-06-12,1,AZ,0,1,1
137110,2009,2009-11-15,1,AZ,0,8,1
137111,2009,2009-11-28,1,AZ,6,0,1
137112,2009,2009-11-28,1,AZ,6,0,1
137113,2009,2009-09-10,0,AZ,0,1,1
137114,2009,2009-02-06,1,AZ,0,2,1
137115,2009,2009-11-12,1,AZ,0,2,1
137116,2009,2009-03-20,0,AZ,6,0,1
137117,2009,2009-01-26,0,AZ,0,1,1
141012,2009,2009-04-17,0,AZ,6,0,1
141013,2009,2009-05-19,0,AZ,0,2,2
141014,2009,2009-04-28,1,AZ,6,0,1
141083,2009,2009-03-13,0,AZ,6,0,1
141084,2009,2009-03-13,0,AZ,0,1,2
141085,2009,2009-03-12,0,AZ,0,1,1
141086,2009,2009-03-18,0,AZ,0,2,2
141087,2009,2009-03-26,0,AZ,0,1,1
141088,2009,2009-03-31,0,AZ,6,0,1
141089,2009,2009-05-11,0,AZ,6,0,1
141090,2009,2009-04-09,0,AZ,0,1,1
141091,2009,2009-04-11,0,AZ,0,4,1
141092,2009,2009-04-19,0,AZ,0,3,1
141093,2009,2009-04-26,0,AZ,0,1,5
141094,2009,2009-04-28,0,AZ,6,0,1
141095,2009,2009-05-02,0,AZ,6,0,1
141096,2009,2009-05-06,0,AZ,6,0,1
141097,2009,2009-05-05,0,AZ,6,0,3
141098,2009,2009-05-05,0,AZ,6,0,1
141099,2009,2009-05-10,0,AZ,6,0,1
141100,2009,2009-05-11,0,AZ,0,1,1
141101,2009,2009-05-24,0,AZ,0,4,2
141102,2009,2009-05-23,0,AZ,6,0,1
141103,2009,2009-06-07,0,AZ,0,1,1
141104,2009,2009-06-07,0,AZ,1,2,4
141105,2009,2009-08-25,0,AZ,0,1,1
141106,2009,2009-07-04,0,AZ,0,1,1
141107,2009,2009-07-04,0,AZ,0,3,3
141108,2009,2009-07-20,0,AZ,6,0,4
141109,2009,2009-07-23,0,AZ,0,1,1
141110,2009,2009-07-26,0,AZ,0,1,1
141111,2009,2009-07-30,0,AZ,0,1,1
141112,2009,2009-08-06,0,AZ,0,1,2
141113,2009,2009-08-08,0,AZ,6,0,1
141114,2009,2009-08-08,0,AZ,6,0,1
141115,2009,2009-08-20,0,AZ,6,0,1
141116,2009,2009-08-29,0,AZ,1,1,1
